"filename", "language", "Markdown", "YAML", "Dart", "JSON", "HTML", "Properties", "Groovy", "XML", "C++", "Swift", "comment", "blank", "total"
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\clubs_record.g.dart", "Dart", 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 5, 37, 406
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\donations_record.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 26, 128
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\donations_record.g.dart", "Dart", 0, 0, 396, 0, 0, 0, 0, 0, 0, 0, 5, 38, 439
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\firestore.indexes.json", "JSON", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 152
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\index.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\punts_record.dart", "Dart", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 24, 119
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\punts_record.g.dart", "Dart", 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 5, 38, 431
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\serializers.dart", "Dart", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 24, 133
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\serializers.g.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 5, 18
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\teams_record.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 21, 99
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\teams_record.g.dart", "Dart", 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 5, 33, 314
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\users_record.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 24, 123
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\backend\schema\users_record.g.dart", "Dart", 0, 0, 390, 0, 0, 0, 0, 0, 0, 0, 5, 38, 433
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\club_check\club_check_widget.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 6, 60
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\club_landing\club_landing_widget.dart", "Dart", 0, 0, 821, 0, 0, 0, 0, 0, 0, 0, 0, 12, 833
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\club_management\club_management_widget.dart", "Dart", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 1, 5, 239
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\components\confirm_donation_widget.dart", "Dart", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 5, 129
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\components\create_team_bottom_widget.dart", "Dart", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 8, 251
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\components\donation_tile_widget.dart", "Dart", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 1, 5, 161
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\components\edit_team_bottom_widget.dart", "Dart", 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 7, 212
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\components\member_add_tile_widget.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 5, 107
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\components\member_fees_tile_widget.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 113
